"BRANCHES","ID","STNAME","TOTAL","YEAR"
227,"CB_2014_ME","Maine",6,"2014"
1,"CB_2014_MH","Marshall Islands",0,"2014"
2564,"CB_2014_MI","Michigan",107,"2014"
1326,"CB_2014_MN","Minnesota",323,"2014"
2009,"CB_2014_MO","Missouri",280,"2014"
9,"CB_2014_MP","Northern Mariana Islands",0,"2014"
1103,"CB_2014_MS","Mississippi",79,"2014"
331,"CB_2014_MT","Montana",59,"2014"
2455,"CB_2014_NC","North Carolina",47,"2014"
315,"CB_2014_ND","North Dakota",82,"2014"
860,"CB_2014_NE","Nebraska",193,"2014"
255,"CB_2014_NH","New Hampshire",4,"2014"
2369,"CB_2014_NJ","New Jersey",52,"2014"
441,"CB_2014_NM","New Mexico",40,"2014"
486,"CB_2014_NV","Nevada",16,"2014"
4331,"CB_2014_NY","New York",109,"2014"
3360,"CB_2014_OH","Ohio",134,"2014"
1100,"CB_2014_OK","Oklahoma",218,"2014"
1025,"CB_2014_OR","Oregon",25,"2014"
445,"CB_2014_OT","Other Areas",11,"2014"
3460,"CB_2014_PA","Pennsylvania",122,"2014"
373,"CB_2014_PR","Puerto Rico",6,"2014"
2,"CB_2014_PW","Palau",0,"2014"
